id,name,is_answer,sprite_name,yPosition,xPosition
4101,썩은 귤,1,RottenTangerine,Up,0
4102,조개 껍데기,0,Shell,Down,1
4103,바나나 껍질,1,BananaPeel,Up,2
4104,생선뼈,0,FishBone,Middle,2
4105,스팸,1,Spam,Down,3
4106,식칼,0,Knife,Middle,4
4107,우유팩,0,MilkCarton,Down,4
4108,쿠키,1,Cookie,Up,5
4109,썩은 귤,1,RottenTangerine,Down,6
4110,조개 껍데기,0,Shell,Middle,7
4111,양파,1,Onion,Down,7
4112,쿠키,1,Cookie,Middle,8
4113,사과,1,Apple,Down,8
4114,달걀껍데기,0,EggShell,Middle,9
4115,바나나 껍질,1,BananaPeel,Up,10
4116,콜라 캔,0,ColaCan,Up,11
4117,스팸,1,Spam,Down,11
4118,썩은 귤,1,RottenTangerine,Middle,12
4119,사과,1,Apple,Up,13
4120,양파,1,Onion,Middle,14
4121,페트병,0,PetBottle,Down,14
4122,종이컵,0,PaperCup,Up,15
4123,스팸,1,Spam,Down,15
4124,양파,1,Onion,Down,16
4125,쿠키,1,Cookie,Up,17
4126,조개 껍데기,0,Shell,Down,17
4127,깨진 전구,0,BrokenLight,Up,18
4128,사과,1,Apple,Middle,18
4129,바나나 껍질,1,BananaPeel,Up,19
